,year,sale_price_sqr_foot
0,2010,369.34435332942974
1,2011,341.9034291801058
2,2012,399.3899684488192
3,2013,483.6003042611177
4,2014,556.2772734475082
5,2015,632.5403520321692
6,2016,697.643709116537
